Experiment,accuracy,error_rate,sensitivity,specificity,gmean,auc
Experiment 1,0.9508,0.0492,0.9756,0.9383,0.9568,0.9871
Experiment 2,0.9672,0.0328,0.9756,0.9630,0.9693,0.9864
Experiment 3,0.9590,0.0410,1.0000,0.9383,0.9686,0.9747
Experiment 4,0.9344,0.0656,0.8780,0.9630,0.9195,0.9880
Experiment 5,0.9590,0.0410,0.9024,0.9877,0.9441,0.9976
Experiment 6,0.9672,0.0328,0.9512,0.9753,0.9632,0.9738
Experiment 7,0.9508,0.0492,0.9512,0.9506,0.9509,0.9828
Average,0.9555,0.0445,0.9477,0.9594,0.9532,0.9843
Std_Dev,0.0115,0.0115,0.0432,0.0185,0.0175,0.0082
