Fold,accuracy,error_rate,sensitivity,specificity,gmean,auc
Fold 1,0.9655,0.0345,0.9355,0.9821,0.9585,0.9689
Fold 2,0.9540,0.0460,0.9444,0.9608,0.9526,0.9668
Fold 3,0.9655,0.0345,1.0000,0.9524,0.9759,0.9828
Fold 4,0.9770,0.0230,0.9375,1.0000,0.9682,0.9994
Fold 5,0.9655,0.0345,0.9286,0.9831,0.9554,0.9837
Fold 6,0.9540,0.0460,0.9143,0.9808,0.9469,0.9835
Fold 7,0.9355,0.0645,0.9130,0.9429,0.9278,0.9826
Average,0.9596,0.0404,0.9390,0.9717,0.9551,0.9811
Std_Dev,0.0132,0.0132,0.0293,0.0202,0.0155,0.0109
